"FileName"	"Label"	"condition"	"element"	"material"	"control.type"	"dose"	"duration"	"replica"
"GSM1708145_AgNO3_EC20_7d_1.txt"	"Ag.AgNO3.EC20.7d.1"	"Ag.AgNO3.EC20.7d"	"Ag"	"AgNO3"	NA	"EC20"	7	1
"GSM1708146_AgNO3_EC20_7d_2.txt"	"Ag.AgNO3.EC20.7d.2"	"Ag.AgNO3.EC20.7d"	"Ag"	"AgNO3"	NA	"EC20"	7	2
"GSM1708147_AgNO3_EC20_7d_3.txt"	"Ag.AgNO3.EC20.7d.3"	"Ag.AgNO3.EC20.7d"	"Ag"	"AgNO3"	NA	"EC20"	7	3
"GSM1708148_AgNO3_EC50_7d_1.txt"	"Ag.AgNO3.EC50.7d.1"	"Ag.AgNO3.EC50.7d"	"Ag"	"AgNO3"	NA	"EC50"	7	1
"GSM1708149_AgNO3_EC50_7d_2.txt"	"Ag.AgNO3.EC50.7d.2"	"Ag.AgNO3.EC50.7d"	"Ag"	"AgNO3"	NA	"EC50"	7	2
"GSM1708150_AgNO3_EC50_7d_3.txt"	"Ag.AgNO3.EC50.7d.3"	"Ag.AgNO3.EC50.7d"	"Ag"	"AgNO3"	NA	"EC50"	7	3
"GSM1708151_Coated_EC20_7d_1.txt"	"Ag.Coated.EC20.7d.1"	"Ag.Coated.EC20.7d"	"Ag"	"Coated"	NA	"EC20"	7	1
"GSM1708152_Coated_EC20_7d_2.txt"	"Ag.Coated.EC20.7d.2"	"Ag.Coated.EC20.7d"	"Ag"	"Coated"	NA	"EC20"	7	2
"GSM1708153_Coated_EC20_7d_3.txt"	"Ag.Coated.EC20.7d.3"	"Ag.Coated.EC20.7d"	"Ag"	"Coated"	NA	"EC20"	7	3
"GSM1708154_Coated_EC50_7d_1.txt"	"Ag.Coated.EC50.7d.1"	"Ag.Coated.EC50.7d"	"Ag"	"Coated"	NA	"EC50"	7	1
"GSM1708155_Coated_EC50_7d_2.txt"	"Ag.Coated.EC50.7d.2"	"Ag.Coated.EC50.7d"	"Ag"	"Coated"	NA	"EC50"	7	2
